"Varnummer", "GivenScore", "Notes"
2111, 60, ""
4629, 50, ""
3305, 75, ""
2909, 100, ""
2842, 80, ""
2479, 70, ""
2070, 60, ""
12002, 80, ""
12679, 75, ""
16676, 40, ""
2897, 70, ""
12797, 10, "Castillo de Kraekos"
2962, 45, "Casillero del Diablo Cabernet Sauvignon"
32417, 70, "Villa Puccini, Toscana"
5475, 60, "Bourgogne Rouge Pinot Noir Labouré Roi"
2705, 78, "Brolio"
70526, 85, "Cotes du Rohne Saint Francois"
12986, 70, "Graham Beck Shiraz Carbernet Sauvignon"
3958, 70, "Chateau de Seguin Bordeaux Superieur"
2597, 85, "Campgiovanni"
22467, 60, "Piccini Sangiovese"
12697, 55, "Gran Coronas Torres"
4280, 60, "Cap de Ruc"
6521, 65, "Tapiz Joven Malbec"
2325, 70 ,"Bolgarello Rosso Sangiovese (B)"
2241, 72, "Il Coure Per Martina Appassimento"
2704, 60, "Macia Batle (RETRY)"
3302, 60, "Raccolto Appassimento"
12378, 35, "Prado Rosso Tetra"
22653, 20, "Akesson Terre dellOro Rosso"
2034, 45, "Kleine Zalze Vineyard Selection Shiraz Mourvedre Viognier"
32452, 60, "Raccolto Nero d Avola Cabernet Sauvignon"
6010, 87, "Allegrini Valpolicella Superior"
2680, 65, "Manifesto nero d avola"
6605, 80, "Trapiche Oak Cask Pinot Noir"
2643, 60, "Montecillo Crianza 2010"
16301, 70, "Innocent Bystander"
72458, 58, "Les Dauphines Cotes du Rhone"
2815, 50, "Crozes Hermitage Cave Tain"
5568, 92, "Matua Hawkes Bay Syrah"
81603, 60, "Vinistella Nero d Avola"
3023, 75, "Cantina Zaccagnini"
2167, 50, "Terre de Mistral"
2083, 78, "GemTree Bloodstone"
12379, 87, "Amarone"
5353, 85, "Goochgladpakollo"
12126, 60, "Rioja"

